2025-04-24 17:08:27,525 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=13, micro=3, releaselevel='final', serial=0)
2025-04-24 17:08:27,526 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-11-10.0.26100-SP0
2025-04-24 17:08:27,526 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-04-24 17:08:31,794 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-04-24 17:08:59,888 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-04-24 17:09:21,508 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-04-24 17:09:26,294 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-04-24 17:09:58,510 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-04-24 17:10:17,795 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-04-24 17:10:22,211 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-04-24 17:10:51,730 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-04-24 17:11:20,483 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-04-24 17:11:31,838 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=13, micro=3, releaselevel='final', serial=0)
